#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*ხველება"] | [slemma = "დახველება"] 
# Matches:        436
# Excluded:       0
# Execution time: 0.020667 sec. (0.012977 CPU sec.)
#
# match	slemma	lemma	features	
#
დახველებისას	დახველება	და-ხველებ[ა]/ხველ	N VN Converb
დახველება	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg
დაახველოს	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Opt Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველებით	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Inst Sg
დაახველებს	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Fut Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დაახველებს	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Fut Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დახველებით	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Inst Sg
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველებით	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Inst Sg
დაახველებენ	დახველება	და-ხველებ[ა]/ხველ	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Pl DO:3
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დახველება	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დავახველო	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Opt Pv <S-DO> <S:Dat> <DO:Nom> DO:1Sg S:3 ¦ V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Aor Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველების	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg
დაახველებს	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Fut Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დახველებისაგან	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Gen Sg L PP PP:გან
დავახველებ	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Fut Pv <S-DO> <S:Dat> <DO:Nom> DO:1Sg S:3 ¦ V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დახველებით	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Inst Sg
დაუხველებიათ	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Pl DO:3 ¦ V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Pl DO:3
დახველებით	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Inst Sg
დახველებაც	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg Encl:ც Foc
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველება	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg
დავახველოთ	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Opt Pv <S-DO> <S:Dat> <DO:Nom> DO:1Pl S:3 ¦ V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველებაც	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg Encl:ც Foc
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
