#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დაელიათ	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg DO:3Pl
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დაელევოდა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Cond Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დაილივნენ	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Pl
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დაჰლევს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3 NonStand
დაილია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Sg ¦ V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დავლიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალიონ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დავლიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დავილევით	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:1Pl
დალევა	დალევა	და-ლევ[ა]/ლ	N VN Pv Nom Sg
დამლევია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Perf Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg
დავილი	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Iter-II Pv <S> <S:Nom> S:1Sg
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაულევია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
დაილევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:3Sg
დაილევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:3Sg
დაელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დაილია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Sg ¦ V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დაგვილევია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:1Pl DO:3
დალიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3
დაჰლევდა	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Cond Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3 NonStand
დაილია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Sg ¦ V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაილივნენ	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Pl
